id,title,imdb_id,tmdb_id,plot,genres,themes
12279,1%,tt6301712,433288,A young man must choose between loyalty and family when he is tasked with saving his brother's life by betraying their president.,['mystery film'],"['Betrayal and redemption', 'Family loyalty', 'Leadership under fire', 'Loyalty tested', 'Morality of choice', 'Power struggles', 'Revenge and justice', 'The cost of loyalty']"
4212,"10,000 BC",tt0443649,7840,A young hunter named D'Leh must rescue his tribe after their village is attacked by horse-mounted riders. He teams up with friends and allies to defeat the warlord and break free from the Almighty's illusion of godhood.,"['action film', 'adventure film', 'drama film', 'fantasy film', 'historical film', 'science fiction film']","['Battle for survival', 'Childhood innocence lost', 'Freedom from oppression', 'Heroic sacrifice', 'Reclaiming identity', 'Triumph of the underdog', 'War and its aftermath', 'Youthful love and loss']"
17134,1000 Miles from Christmas,tt13782052,852590,"A Scrooge-like Christmas-abhoring man, Raúl, is tasked to audit a Turrón-making factory in a remote Christmas-loving village, where he also faces the prospect of sharing a roof with Paula, the local teacher, hellbent on staging the largest living nativity scene ever.","['Christmas film', 'romantic comedy']",[]
11939,100 Degrees Below Zero,tt2538128,182228,N/A,['disaster film'],[]
7428,100 Feet,tt0899128,14098,"A woman named Marnie returns home with a police officer after a traumatic event, only to be haunted by her deceased husband's ghost. As the situation escalates, the ghost's presence becomes more menacing, putting everyone in danger. The police officer tries to protect Marnie, but they both face unexpected and terrifying consequences.","['ghost film', 'horror film']","['Dark Secrets Revealed', 'Desperate Measures', 'Fatal Attraction', 'Frightening Confrontations', 'Ghostly Haunting', 'Protective Instincts', 'Trapped and Terrified']"
17033,100 Meters,tt32600395,1295026,N/A,"['drama film', 'sport film']",[]
6409,100 metros,tt5089786,402693,N/A,"['athletics film', 'comedy drama', 'comedy film', 'drama film']",[]
7424,100 Tears,tt0943946,28109,"A former circus clown turned serial killer targets a new circus troupe, leading to a cat-and-mouse game between the killer and two detectives who are hot on his trail. The story unfolds with multiple twists and turns as the killer's true identity is slowly revealed. As the body count rises, the detectives close in on their suspect, but he always seems one step ahead. In the end, it is a family connection that proves to be the killer's downfall.","['comedy horror film', 'slasher film', 'splatter film']","['Chasing a Killer', 'Dark Circus', 'Deadly Obsession', 'Family Legacy of Evil', 'Murder on the Run', 'Psychological Games', 'Twisted Family Ties']"
12627,101 Dalmatians,tt0115433,11674,"A struggling video game designer teams up with his pet Dalmatian to create a viral hit, while facing off against a fashion designer turned fur-obsessed villain who will stop at nothing to get what she wants.","['comedy film', 'family film', 'fantasy film']","['Furry friends forever', 'Game on!', 'Paws for justice', 'Spotted love', 'Tail of revenge', 'The spotted truth', 'Unleashing the pack']"
9643,102 Dalmatians,tt0211181,10481,"Cruella de Vil has been cured of her desire for fur coats but secretly enlists Jean-Pierre LePelt's help to design a new coat made from the puppies of Dipstick, Chloe Simon's pet. When Chloe and Kevin try to stop Cruella, they are joined by Kevin's talking macaw Waddlesworth and Oddball, who has escaped. The puppies trick Cruella into being baked in a cake, leading to her arrest.","[""children's film"", 'comedy film', 'fantasy film']","['Binge-watching marathon', 'Cat-and-mouse game', 'Feel-good movie night', 'Revenge and justice', 'Silly animal antics', 'Spooky Halloween', 'Sweet redemption', 'Unlikely heroes']"
